Big 12,12.2134,6825,883,1975,.447,657,1320,.498,226,655,.345,431,618,.697,305,958,1263,430,203,102,401,526,2423,71.3,SEC,8.1333,6625,876,1906,.460,604,1146,.527,272,760,.358,461,589,.783,322,806,1128,475,235,118,416,603,2485,75.3,0
Big Ten,11.0134,6925,874,1945,.449,633,1273,.497,241,672,.359,344,531,.648,283,914,1197,430,177,140,327,511,2333,68.6,Pac-12,6.1338,7650,958,2125,.451,663,1285,.516,295,840,.351,450,624,.721,361,946,1307,501,290,163,442,665,2661,70.0,1
Big West,-2.3037,7500,987,2159,.457,735,1458,.504,252,701,.359,449,640,.702,429,1042,1471,479,210,152,441,673,2675,72.3,Big 12,9.1834,6800,806,1878,.429,565,1157,.488,241,721,.334,383,574,.667,320,816,1136,464,256,76,385,550,2236,65.8,0
WCC,4.4034,6825,899,1905,.472,646,1235,.523,253,670,.378,412,555,.742,329,851,1180,341,201,87,355,574,2463,72.4,Big East,7.9736,7275,884,2019,.438,504,938,.537,380,1081,.352,506,695,.728,368,885,1253,503,194,106,388,580,2654,73.7,1
Big Ten,11.9936,7300,967,2145,.451,602,1168,.515,365,977,.374,461,641,.719,421,920,1341,518,220,143,381,623,2760,76.7,CUSA,-1.1835,7000,824,2027,.407,560,1271,.441,264,756,.349,388,585,.663,418,947,1365,439,197,160,408,580,2300,65.7,0
AAC,5.5035,7050,872,2018,.432,640,1345,.476,232,673,.345,534,758,.704,442,822,1264,466,214,155,365,563,2510,71.7,Big Ten,9.8435,7075,914,2006,.456,629,1224,.514,285,782,.364,627,849,.739,357,889,1246,542,211,112,427,565,2740,78.3,1
SEC,10.1637,7525,1106,2231,.496,844,1517,.556,262,714,.367,561,744,.754,379,1012,1391,660,221,199,412,654,3035,82.0,Patriot,-3.8335,7075,955,1995,.479,635,1180,.538,320,815,.393,418,563,.742,322,918,1240,541,213,121,456,547,2648,75.7,0
Big 12,12.2134,6825,883,1975,.447,657,1320,.498,226,655,.345,431,618,.697,305,958,1263,430,203,102,401,526,2423,71.3,ACC,10.1438,7675,974,2056,.474,653,1244,.525,321,812,.395,445,598,.744,342,984,1326,544,211,149,342,543,2714,71.4,1
Pac-12,6.1338,7650,958,2125,.451,663,1285,.516,295,840,.351,450,624,.721,361,946,1307,501,290,163,442,665,2661,70.0,Big West,-2.3037,7500,987,2159,.457,735,1458,.504,252,701,.359,449,640,.702,429,1042,1471,479,210,152,441,673,2675,72.3,0
Big East,7.9736,7275,884,2019,.438,504,938,.537,380,1081,.352,506,695,.728,368,885,1253,503,194,106,388,580,2654,73.7,Big Ten,11.9936,7300,967,2145,.451,602,1168,.515,365,977,.374,461,641,.719,421,920,1341,518,220,143,381,623,2760,76.7,1
SEC,10.1637,7525,1106,2231,.496,844,1517,.556,262,714,.367,561,744,.754,379,1012,1391,660,221,199,412,654,3035,82.0,Big Ten,9.8435,7075,914,2006,.456,629,1224,.514,285,782,.364,627,849,.739,357,889,1246,542,211,112,427,565,2740,78.3,0
Pac-12,6.1338,7650,958,2125,.451,663,1285,.516,295,840,.351,450,624,.721,361,946,1307,501,290,163,442,665,2661,70.0,ACC,10.1438,7675,974,2056,.474,653,1244,.525,321,812,.395,445,598,.744,342,984,1326,544,211,149,342,543,2714,71.4,1
Big Ten,11.9936,7300,967,2145,.451,602,1168,.515,365,977,.374,461,641,.719,421,920,1341,518,220,143,381,623,2760,76.7,SEC,10.1637,7525,1106,2231,.496,844,1517,.556,262,714,.367,561,744,.754,379,1012,1391,660,221,199,412,654,3035,82.0,0
Big Ten,11.9936,7300,967,2145,.451,602,1168,.515,365,977,.374,461,641,.719,421,920,1341,518,220,143,381,623,2760,76.7,ACC,10.1438,7675,974,2056,.474,653,1244,.525,321,812,.395,445,598,.744,342,984,1326,544,211,149,342,543,2714,71.4,1
ACC,10.1438,7675,974,2056,.474,653,1244,.525,321,812,.395,445,598,.744,342,984,1326,544,211,149,342,543,2714,71.4,SEC,10.9240,8075,1097,2439,.450,643,1235,.521,454,1204,.377,540,760,.711,457,912,1369,572,369,190,466,731,3188,79.7,0
Big Ten,12.3439,7850,1071,2230,.480,752,1386,.543,319,844,.378,564,749,.753,414,1165,1579,716,201,205,493,647,3025,77.6,Big 12,9.5338,7650,990,2110,.469,713,1351,.528,277,759,.365,508,694,.732,315,977,1292,498,275,186,457,663,2765,72.8,1
ACC,10.1438,7675,974,2056,.474,653,1244,.525,321,812,.395,445,598,.744,342,984,1326,544,211,149,342,543,2714,71.4,Big 12,9.5338,7650,990,2110,.469,713,1351,.528,277,759,.365,508,694,.732,315,977,1292,498,275,186,457,663,2765,72.8,0
Big East,10.2440,8075,1220,2440,.500,756,1282,.590,464,1158,.401,559,718,.779,385,1051,1436,655,259,162,426,645,3463,86.6,Big South,-4.0836,7325,850,2000,.425,573,1207,.475,277,793,.349,445,614,.725,415,829,1244,442,226,105,441,596,2422,67.3,0
ACC,6.7133,6675,931,1865,.499,642,1120,.573,289,745,.388,483,681,.709,246,832,1078,542,191,74,395,523,2634,79.8,SEC,10.6436,7200,910,1975,.461,681,1273,.535,229,702,.326,555,828,.670,360,930,1290,458,228,192,513,676,2604,72.3,1
Big 12,9.3637,7425,1036,2374,.436,714,1463,.488,322,911,.353,570,744,.766,521,880,1401,561,301,192,420,798,2964,80.1,OVC,-3.5332,6400,870,1803,.483,599,1084,.553,271,719,.377,504,687,.734,341,845,1186,471,216,104,384,559,2515,78.6,0
AAC,5.4633,6650,957,2009,.476,657,1222,.538,300,787,.381,517,700,.739,405,931,1336,610,154,127,385,580,2731,82.8,CUSA,0.4336,7275,1042,2232,.467,680,1220,.557,362,1012,.358,571,747,.764,293,994,1287,615,252,209,476,617,3017,83.8,1
SEC,10.0834,6875,893,2065,.432,585,1233,.474,308,832,.370,483,673,.718,367,831,1198,445,237,164,335,591,2577,75.8,A-10,2.6134,6900,884,1959,.451,629,1298,.485,255,661,.386,597,794,.752,344,864,1208,472,239,118,391,674,2620,77.1,0
Southland,-6.4635,7000,1000,2059,.486,758,1408,.538,242,651,.372,577,819,.705,402,846,1248,498,361,107,540,765,2819,80.5,Big 12,9.6037,7450,964,2096,.460,712,1394,.511,252,702,.359,579,823,.704,407,925,1332,529,262,158,454,669,2759,74.6,1
Big East,10.5535,7150,1020,2155,.473,733,1350,.543,287,805,.357,436,562,.776,324,874,1198,489,232,100,391,642,2763,78.9,SEC,9.8535,7075,1005,2119,.474,736,1438,.512,269,681,.395,540,793,.681,351,857,1208,501,218,163,381,700,2819,80.5,0
Big West,-1.0232,6450,804,1721,.467,637,1221,.522,167,500,.334,543,745,.729,280,843,1123,403,201,106,455,578,2318,72.4,Big Ten,8.7437,7425,1033,2097,.493,680,1257,.541,353,840,.420,555,747,.743,319,976,1295,598,211,180,399,580,2974,80.4,1
Big East,10.2440,8075,1220,2440,.500,756,1282,.590,464,1158,.401,559,718,.779,385,1051,1436,655,259,162,426,645,3463,86.6,SEC,10.6436,7200,910,1975,.461,681,1273,.535,229,702,.326,555,828,.670,360,930,1290,458,228,192,513,676,2604,72.3,0
CUSA,0.4336,7275,1042,2232,.467,680,1220,.557,362,1012,.358,571,747,.764,293,994,1287,615,252,209,476,617,3017,83.8,Big 12,9.3637,7425,1036,2374,.436,714,1463,.488,322,911,.353,570,744,.766,521,880,1401,561,301,192,420,798,2964,80.1,1
Big 12,9.6037,7450,964,2096,.460,712,1394,.511,252,702,.359,579,823,.704,407,925,1332,529,262,158,454,669,2759,74.6,SEC,10.0834,6875,893,2065,.432,585,1233,.474,308,832,.370,483,673,.718,367,831,1198,445,237,164,335,591,2577,75.8,0
Big East,10.5535,7150,1020,2155,.473,733,1350,.543,287,805,.357,436,562,.776,324,874,1198,489,232,100,391,642,2763,78.9,Big Ten,8.7437,7425,1033,2097,.493,680,1257,.541,353,840,.420,555,747,.743,319,976,1295,598,211,180,399,580,2974,80.4,1
Big East,10.2440,8075,1220,2440,.500,756,1282,.590,464,1158,.401,559,718,.779,385,1051,1436,655,259,162,426,645,3463,86.6,Big 12,9.3637,7425,1036,2374,.436,714,1463,.488,322,911,.353,570,744,.766,521,880,1401,561,301,192,420,798,2964,80.1,0
Big Ten,8.7437,7425,1033,2097,.493,680,1257,.541,353,840,.420,555,747,.743,319,976,1295,598,211,180,399,580,2974,80.4,Big 12,9.6037,7450,964,2096,.460,712,1394,.511,252,702,.359,579,823,.704,407,925,1332,529,262,158,454,669,2759,74.6,1
Big East,10.2440,8075,1220,2440,.500,756,1282,.590,464,1158,.401,559,718,.779,385,1051,1436,655,259,162,426,645,3463,86.6,Big 12,9.6037,7450,964,2096,.460,712,1394,.511,252,702,.359,579,823,.704,407,925,1332,529,262,158,454,669,2759,74.6,0
Ivy,-3.1733,6775,893,1948,.458,602,1117,.539,291,831,.350,429,651,.659,283,956,1239,508,194,92,391,566,2506,75.9,Big 12,11.8739,7825,1165,2366,.492,774,1392,.556,391,974,.401,453,640,.708,381,1007,1388,649,254,160,456,597,3174,81.4,1
Big East,10.1134,6850,971,2073,.468,721,1388,.519,250,685,.365,509,729,.698,416,886,1302,527,210,117,432,614,2701,79.4,ACC,6.7033,6625,965,2054,.470,702,1347,.521,263,707,.372,489,703,.696,401,775,1176,531,244,122,400,609,2682,81.3,0
WAC,-1.1034,6825,963,2104,.458,705,1331,.530,258,773,.334,388,603,.643,427,975,1402,481,189,103,429,604,2572,75.6,ACC,9.2535,7050,899,1971,.456,611,1185,.516,288,786,.366,498,660,.755,313,943,1256,463,198,169,414,564,2584,73.8,1
SEC,7.2934,6800,906,2102,.431,582,1194,.487,324,908,.357,647,836,.774,407,883,1290,481,252,180,411,672,2783,81.9,CAA,-3.2934,6925,875,1905,.459,616,1185,.520,259,720,.360,527,699,.754,286,843,1129,387,177,119,339,563,2536,74.6,0
Big 12,9.6833,6725,979,1973,.496,705,1279,.551,274,694,.395,476,674,.706,368,833,1201,615,214,119,419,553,2708,82.1,ACC,10.0237,7500,832,1995,.417,624,1340,.466,208,655,.318,594,807,.736,442,933,1375,395,258,198,460,611,2466,66.6,1
Big Ten,7.1035,7025,991,1996,.496,701,1271,.552,290,725,.400,535,716,.747,405,1034,1439,670,143,251,459,640,2807,80.2,Patriot,-3.4635,7100,965,2050,.471,685,1246,.550,280,804,.348,627,872,.719,325,956,1281,505,194,152,437,655,2837,81.1,0
Big 12,10.5632,6475,954,2063,.462,654,1227,.533,300,836,.359,510,684,.746,339,890,1229,479,208,151,428,551,2718,84.9,A-10,4.6134,6850,954,2096,.455,718,1426,.504,236,670,.352,439,630,.697,389,781,1170,520,249,118,362,645,2583,76.0,1
ACC,9.7137,7450,1125,2288,.492,816,1457,.560,309,831,.372,562,791,.710,496,1023,1519,648,275,185,460,574,3121,84.4,MAAC,-2.1934,6925,957,2076,.461,633,1230,.515,324,846,.383,462,626,.738,291,855,1146,542,229,103,395,587,2702,79.5,0
Big East,10.1134,6850,971,2073,.468,721,1388,.519,250,685,.365,509,729,.698,416,886,1302,527,210,117,432,614,2701,79.4,Big 12,11.8739,7825,1165,2366,.492,774,1392,.556,391,974,.401,453,640,.708,381,1007,1388,649,254,160,456,597,3174,81.4,1
ACC,9.2535,7050,899,1971,.456,611,1185,.516,288,786,.366,498,660,.755,313,943,1256,463,198,169,414,564,2584,73.8,SEC,7.2934,6800,906,2102,.431,582,1194,.487,324,908,.357,647,836,.774,407,883,1290,481,252,180,411,672,2783,81.9,0
Big Ten,7.1035,7025,991,1996,.496,701,1271,.552,290,725,.400,535,716,.747,405,1034,1439,670,143,251,459,640,2807,80.2,ACC,10.0237,7500,832,1995,.417,624,1340,.466,208,655,.318,594,807,.736,442,933,1375,395,258,198,460,611,2466,66.6,1
ACC,9.7137,7450,1125,2288,.492,816,1457,.560,309,831,.372,562,791,.710,496,1023,1519,648,275,185,460,574,3121,84.4,A-10,4.6134,6850,954,2096,.455,718,1426,.504,236,670,.352,439,630,.697,389,781,1170,520,249,118,362,645,2583,76.0,0
ACC,9.2535,7050,899,1971,.456,611,1185,.516,288,786,.366,498,660,.755,313,943,1256,463,198,169,414,564,2584,73.8,Big 12,11.8739,7825,1165,2366,.492,774,1392,.556,391,974,.401,453,640,.708,381,1007,1388,649,254,160,456,597,3174,81.4,1
ACC,9.7137,7450,1125,2288,.492,816,1457,.560,309,831,.372,562,791,.710,496,1023,1519,648,275,185,460,574,3121,84.4,ACC,10.0237,7500,832,1995,.417,624,1340,.466,208,655,.318,594,807,.736,442,933,1375,395,258,198,460,611,2466,66.6,0
ACC,9.7137,7450,1125,2288,.492,816,1457,.560,309,831,.372,562,791,.710,496,1023,1519,648,275,185,460,574,3121,84.4,Big 12,11.8739,7825,1165,2366,.492,774,1392,.556,391,974,.401,453,640,.708,381,1007,1388,649,254,160,456,597,3174,81.4,1
Big East,9.4535,7075,1011,2055,.492,737,1319,.559,274,736,.372,657,843,.779,345,997,1342,579,205,109,441,602,2953,84.4,SWAC,-5.5336,7250,925,2111,.438,645,1330,.485,280,781,.359,657,906,.725,372,929,1301,438,207,145,453,631,2787,77.4,0
SEC,9.1933,6650,794,1765,.450,488,966,.505,306,799,.383,505,688,.734,333,892,1225,443,170,140,469,594,2399,72.7,ACC,8.5035,7100,994,2125,.468,721,1344,.536,273,781,.350,543,786,.691,398,924,1322,523,241,186,456,652,2806,80.2,1
Big Ten,9.0334,6875,951,1980,.480,712,1302,.547,239,678,.353,450,616,.731,334,911,1245,499,209,132,399,595,2591,76.2,Summit,-0.3835,7075,1003,2147,.467,629,1220,.516,374,927,.403,578,759,.762,310,1050,1360,467,172,80,353,562,2958,84.5,0
Southern,-3.8735,7150,924,2075,.445,593,1137,.522,331,938,.353,383,549,.698,418,889,1307,487,267,132,481,650,2562,73.2,WCC,2.5937,7500,1125,2261,.498,797,1370,.582,328,891,.368,513,725,.708,413,1064,1477,564,234,134,420,631,3091,83.5,1
AAC,4.1635,7000,952,2066,.461,655,1298,.505,297,768,.387,484,674,.718,408,944,1352,505,218,106,418,737,2685,76.7,MWC,3.9133,6600,902,1967,.459,663,1258,.527,239,709,.337,502,702,.715,366,884,1250,488,206,107,394,564,2545,77.1,0
Big Sky,-2.2534,6900,944,2021,.467,758,1472,.515,186,549,.339,551,780,.706,402,856,1258,428,264,114,422,716,2625,77.2,Big Ten,9.4141,8275,1092,2335,.468,731,1324,.552,361,1011,.357,474,717,.661,345,1022,1367,585,261,126,379,643,3019,73.6,1
